predator,prey,weight
Endoxyla cinerea,Acacia coriacea,9
Endoxyla cinerea,Acacia cowleana,9
Endoxyla cinerea,Acacia cuthbertsoni,9
Endoxyla cinerea,Acacia dictyophleba,9
Endoxyla cinerea,Acacia kempeana,9
Endoxyla cinerea,Acacia ligulata,9
Endoxyla cinerea,Acacia pruinocarpa,9
Endoxyla cinerea,Acacia spondylophylla,9
Endoxyla cinerea,Acacia tetragonophylla,9
Endoxyla leucomochla,Acacia acradenia,10
Endoxyla leucomochla,Acacia aneura,9
Endoxyla leucomochla,Acacia coriacea,9
Endoxyla leucomochla,Acacia cowleana,9
Endoxyla leucomochla,Acacia cuthbertsoni,9
Endoxyla leucomochla,Acacia dictyophleba,9
Endoxyla leucomochla,Acacia kempeana,9
Endoxyla leucomochla,Acacia ligulata,9
Endoxyla leucomochla,Acacia pruinocarpa,9
Endoxyla leucomochla,Acacia spondylophylla,9
Endoxyla leucomochla,Acacia tetragonophylla,9
Falco longipennis,Amphibolurus burnsi,4.5
Falco longipennis,Aprasia striolata,4.5
Falco longipennis,Araneidae,4.5
Falco longipennis,Bettongia lesueur,4.5
Falco longipennis,Blattodea,4.5
Falco longipennis,Chilopoda,4.5
Falco longipennis,Coleoptera,4.5
Falco longipennis,Ctenotus isolepis,2
Falco longipennis,Ctenotus isolepis,4.5
Falco longipennis,Ctenotus leonhardii,2.5
Falco longipennis,Ctenotus leonhardii,4.5
Falco longipennis,Ctenotus robustus,3
Falco longipennis,Ctenotus robustus,4.5
Falco longipennis,Ctenotus strauchii,2
Falco longipennis,Dasycercus cristicauda,4.5
Falco longipennis,Dasycercus hilleri,4.5
Falco longipennis,Dasyurus hallucatus,4.5
Falco longipennis,Formicidae,4.5
Falco longipennis,Heteronotia binoei,2
Falco longipennis,Leiolopisma metallicum,4.5
Falco longipennis,Leiolopisma trilineatum,4.5
Falco longipennis,Lepidoptera,4.5
Falco longipennis,Oedura marmorata,3
Falco longipennis,Orthoptera,4.5
Falco longipennis,Suta suta,4.5
Fulica atra,Bdelloid,10
Fulica atra,Brachionus sp.,10
Fulica atra,Cephalodella sp.,10
Fulica atra,Lemna disperma,10
Fulica atra,Myriophyllum crispatum,10
Fulica atra,Nematodes,10
Fulica atra,Ostracods,10
Fulica atra,Protozoans (ciliates),10
Fulica atra,Typha dominguensis,10
Fulica atra,Typha orientalis,10
Hemiergis peronii,Araneidae,11
Hemiergis peronii,Chilopoda,11
Hemiergis peronii,Chortoicetes terminifera,11
Hemiergis peronii,Coleoptera,11
Hemiergis peronii,Endoxyla cinerea,11
Hemiergis peronii,Endoxyla leucomochla,11
Hemiergis peronii,Lepidoptera,11
Hemiergis peronii,Scorpionida,11
Hemiergis peronii,Trigona sp.,12
Heteronotia binoei,Chilopoda,25
Heteronotia binoei,Chortoicetes terminifera,25
Heteronotia binoei,Coleoptera,25
Heteronotia binoei,Lepidoptera,25
Isodon auratus,Acacia acradenia,1
Isodon auratus,Acacia aneura,1
Isodon auratus,Acacia coriacea,1
Isodon auratus,Acacia cowleana,1
Isodon auratus,Acacia cuthbertsoni,1
Isodon auratus,Acacia dictyophleba,1
Isodon auratus,Acacia kempeana,1
Isodon auratus,Acacia ligulata,1
Isodon auratus,Acacia pruinocarpa,1
Isodon auratus,Acacia spondylophylla,1
Isodon auratus,Acacia tetragonophylla,1
Isodon auratus,Araneidae,20
Isodon auratus,Blattodea,5
Isodon auratus,Chilopoda,20
Isodon auratus,Coleoptera,20
Isodon auratus,Daucus glochidiatus,1
Isodon auratus,Eremophila longifolia,1
Isodon auratus,Formicidae,20
Isodon auratus,Nitraria billardierei,1
Isodon auratus,Tetragonia eremaea,1
Leggadina forresti,Araneidae,10
Leggadina forresti,Blattodea,10
Leggadina forresti,Chilopoda,10
Leggadina forresti,Coleoptera,10
Leggadina forresti,Eragrostis eriopoda,5
Leggadina forresti,Eragrostis lanipes,5
Leggadina forresti,Eragrostis setifolia,5
