"predator","prey","From","To","Type"
"Corvus cecilae","Chenopodium curvispicatum","bird","forb","Predator-prey"
"Corvus cecilae","Coleoptera","bird","insect","Predator-prey"
"Corvus cecilae","Cucumis melo (agrestis)","bird","vine","Predator-prey"
"Corvus cecilae","Diptera","bird","insect","Predator-prey"
"Corvus cecilae","Enchylaena tomentosa","bird","bush","Predator-prey"
"Corvus cecilae","Formicidae","bird","insect","Predator-prey"
"Corvus cecilae","Heteroptera","bird","insect","Predator-prey"
"Corvus cecilae","human","bird","human","Predator-prey"
"Corvus cecilae","Lagorchestes hirsutus","bird","small mammal","Predator-prey"
"Corvus cecilae","Leiolopisma metallicum","bird","skinks","Predator-prey"
"Corvus cecilae","Mantodea","bird","insect","Predator-prey"
"Corvus cecilae","Orthoptera","bird","insect","Predator-prey"
"Corvus cecilae","Pseudechis australis","bird","Snakes","Predator-prey"
"Corvus cecilae","Psylla eucalypti","bird","vine","Predator-prey"
"Corvus cecilae","Taeniopygia guttata","bird","bird","Predator-prey"
"Corvus cecilae","Triodia basedownii","bird","spinifex","Predator-prey"
"Corvus cecilae","Triodia longiceps","bird","spinifex","Predator-prey"
"Corvus cecilae","Triodia pungens","bird","spinifex","Predator-prey"
"Corvus cecilae","Falco longipennis","bird","bird","Predator-prey"
"Corvus cecilae","Varanus acanthurus","bird","goanna","Predator-prey"
"Corvus cecilae","Melopsittacus undulatus","bird","bird","Predator-prey"
"Corvus cecilae","Ocyphaps lophotes","bird","bird","Predator-prey"
"Corvus cecilae","Petrogale lateralis","bird","small mammal","Predator-prey"
"Corvus cecilae","Tachyglossus aculeatus","bird","small mammal","Predator-prey"
"Corvus cecilae","Anas superciliosa","bird","bird","Predator-prey"
"Ctenophorus caudicinctus","Araneidae","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Blattodea","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Blattodea","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Chilopoda","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Coleoptera","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Ctenotus robustus","skinks","skinks","Predator-prey"
"Ctenophorus caudicinctus","Diptera","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Formicidae","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Heteroptera","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Lepidoptera","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Mantodea","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Neuroptera","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Orthoptera","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Phasmatodea","skinks","insect","Predator-prey"
"Ctenophorus caudicinctus","Zygentoma ","skinks","insect","Predator-prey"
"Ctenotus isolepis","Araneidae","skinks","insect","Predator-prey"
"Ctenotus isolepis","Blattodea","skinks","insect","Predator-prey"
"Ctenotus isolepis","Blattodea","skinks","insect","Predator-prey"
"Ctenotus isolepis","Chilopoda","skinks","insect","Predator-prey"
"Ctenotus isolepis","Coleoptera","skinks","insect","Predator-prey"
"Ctenotus isolepis","Ctenotus robustus","skinks","skinks","Predator-prey"
"Ctenotus isolepis","Diptera","skinks","insect","Predator-prey"
"Ctenotus isolepis","Formicidae","skinks","insect","Predator-prey"
"Ctenotus isolepis","Heteroptera","skinks","insect","Predator-prey"
"Ctenotus isolepis","Lepidoptera","skinks","insect","Predator-prey"
"Ctenotus isolepis","Mantodea","skinks","insect","Predator-prey"
"Ctenotus isolepis","Neuroptera","skinks","insect","Predator-prey"
"Ctenotus isolepis","Orthoptera","skinks","insect","Predator-prey"
"Ctenotus isolepis","Phasmatodea","skinks","insect","Predator-prey"
"Ctenotus isolepis","Zygentoma ","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Araneidae","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Blattodea","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Blattodea","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Chilopoda","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Coleoptera","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Ctenotus robustus","skinks","skinks","Predator-prey"
"Ctenotus leonhardii","Diptera","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Formicidae","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Heteroptera","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Lepidoptera","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Mantodea","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Neuroptera","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Orthoptera","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Phasmatodea","skinks","insect","Predator-prey"
"Ctenotus leonhardii","Zygentoma ","skinks","insect","Predator-prey"
"Ctenotus robustus","Araneidae","skinks","insect","Predator-prey"
"Ctenotus robustus","Blattodea","skinks","insect","Predator-prey"
"Ctenotus robustus","Blattodea","skinks","insect","Predator-prey"
"Ctenotus robustus","Chilopoda","skinks","insect","Predator-prey"
"Ctenotus robustus","Coleoptera","skinks","insect","Predator-prey"
"Ctenotus robustus","Ctenotus robustus","skinks","skinks","Predator-prey"
"Ctenotus robustus","Diptera","skinks","insect","Predator-prey"
"Ctenotus robustus","Formicidae","skinks","insect","Predator-prey"
"Ctenotus robustus","Heteroptera","skinks","insect","Predator-prey"
"Ctenotus robustus","Lepidoptera","skinks","insect","Predator-prey"
"Ctenotus robustus","Mantodea","skinks","insect","Predator-prey"
"Ctenotus robustus","Neuroptera","skinks","insect","Predator-prey"
"Ctenotus robustus","Orthoptera","skinks","insect","Predator-prey"
"Ctenotus robustus","Phasmatodea","skinks","insect","Predator-prey"
"Ctenotus robustus","Zygentoma ","skinks","insect","Predator-prey"
"Ctenotus strauchii","Araneidae","skinks","insect","Predator-prey"
"Ctenotus strauchii","Blattodea","skinks","insect","Predator-prey"
"Ctenotus strauchii","Blattodea","skinks","insect","Predator-prey"
"Ctenotus strauchii","Chilopoda","skinks","insect","Predator-prey"
"Ctenotus strauchii","Coleoptera","skinks","insect","Predator-prey"
"Ctenotus strauchii","Ctenotus robustus","skinks","skinks","Predator-prey"
"Ctenotus strauchii","Diptera","skinks","insect","Predator-prey"
"Ctenotus strauchii","Formicidae","skinks","insect","Predator-prey"
"Ctenotus strauchii","Heteroptera","skinks","insect","Predator-prey"
"Ctenotus strauchii","Lepidoptera","skinks","insect","Predator-prey"
"Ctenotus strauchii","Mantodea","skinks","insect","Predator-prey"
"Ctenotus strauchii","Neuroptera","skinks","insect","Predator-prey"
"Ctenotus strauchii","Orthoptera","skinks","insect","Predator-prey"
"Ctenotus strauchii","Phasmatodea","skinks","insect","Predator-prey"
"Ctenotus strauchii","Zygentoma ","skinks","insect","Predator-prey"
"Dasycercus cristicauda","Araneidae","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Blattodea","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Camponotus inflatus","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Chilopoda","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Coleoptera","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Formicidae","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Lepidoptera","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Mantodea","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Neuroptera","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Orthoptera","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Phasmatodea","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Scorpionida","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Trigona sp.","small mammal","insect","Predator-prey"
"Dasycercus cristicauda","Zygentoma ","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Araneidae","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Blattodea","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Camponotus inflatus","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Chilopoda","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Coleoptera","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Formicidae","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Lepidoptera","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Mantodea","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Neuroptera","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Orthoptera","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Phasmatodea","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Scorpionida","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Trigona sp.","small mammal","insect","Predator-prey"
"Dasycercus hilleri","Zygentoma ","small mammal","insect","Predator-prey"
"Dasyurus hallucatus","Bettongia lesueur","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Chaeropus ecaudatus","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Lagorchestes hirsutus","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Macrotis lagotis","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Notomys sp.","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Orthoptera","small mammal","insect","Predator-prey"
"Dasyurus hallucatus","Perameles eremiana","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Taeniopygia guttata","small mammal","bird","Predator-prey"
"Dasyurus hallucatus","Isodon auratus","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Melopsittacus undulatus","small mammal","bird","Predator-prey"
"Dasyurus hallucatus","Notoryctes caurinus","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Ocyphaps lophotes","small mammal","bird","Predator-prey"
"Dasyurus hallucatus","Petrogale lateralis","small mammal","small mammal","Predator-prey"
"Dasyurus hallucatus","Tachyglossus aculeatus","small mammal","small mammal","Predator-prey"
"Dromaius novaehollandiae","Acacia aneura","emu","Acacia","Predator-prey"
"Dromaius novaehollandiae","Allocasuarina decaisneana","emu","Acacia","Predator-prey"
"Dromaius novaehollandiae","Amyema sp.","emu","vine","Predator-prey"
"Dromaius novaehollandiae","Canthium attenuatum","emu","vine","Predator-prey"
"Dromaius novaehollandiae","Canthium latifolium","emu","vine","Predator-prey"
"Dromaius novaehollandiae","Capparis loranthifolia","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Capparis umbonata","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Chenopodium curvispicatum","emu","forb","Predator-prey"
"Dromaius novaehollandiae","Cynanchum floribundum","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Daucus glochidiatus","emu","forb","Predator-prey"
"Dromaius novaehollandiae","Enchylaena tomentosa","emu","bush","Predator-prey"
"Dromaius novaehollandiae","Endoxyla cinerea","emu","grub","Predator-prey"
"Dromaius novaehollandiae","Eremophila longifolia","emu","forb","Predator-prey"
